Connector Code,Id (Connector),Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22
HFFC-022479,aAZ2j0000000DVbGAM,,,,,,,,,,,,,2,,,,,1,1,,,,,
HFFC-008655,aAZ0o000000GozhGAC,4,2,1,2,1,,,,1,5,2,3,3,4,2,8,8,7,3,,1,7,3,4
HFFC-011100,aAZ0o000000PMiOGAW,1,,,,,3,3,1,6,3,5,1,4,7,3,7,1,2,,,6,1,5,3
HFFC-022987,aAZ2j000000KzCmGAK,,,,,,,,,,,,,2,,,2,,,,,,,,
HFFC-026569,aAZ2j000000PAw5GAG,,,,,,,,,,,,,,,,,,1,1,,,,,
HFFC-018886,aAZ2j00000008qtGAA,,,,,,,,,2,,,,2,,,,,,,,,,,
HFFC-000553,aAZ9000000000erGAA,,2,2,,,,2,,2,,,,,,1,3,,,,,,,,
HFFC-025706,aAZ2j000000L3WCGA0,,,,,,,,,,,,,,,,2,6,4,2,8,4,2,2,9
HFFC-012254,aAZ2j00000000LsGAI,12,10,4,13,6,4,4,10,16,9,9,5,8,9,2,4,6,7,6,,6,13,2,3
HFFC-023288,aAZ2j000000KzeHGAS,,,,,,,,,,,,,4,2,4,4,,,3,6,3,4,3,3
HFFC-001232,aAZ90000000PDS5GAO,,,,,,,,,1,,,,,2,,1,,,1,,,,,
HFFC-015909,aAZ2j0000000527GAA,2,,,,,,2,,,,,,,,,,,2,,2,,,,
HFFC-024221,aAZ2j000000L1JGGA0,,,,,,,,,,,,,,2,,,,,,,,,,
HFFC-004630,aAZ0o000000Cn5tGAC,1,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-002665,aAZ90000000PFJeGAO,,,,3,1,,,,,,,,,,,,,,,,,,,
HFFC-018429,aAZ2j00000008GWGAY,,,1,1,,,,,,,,,,,,,,,,,,,,
HFFC-010143,aAZ0o00000008qFGAQ,1,1,3,2,,,,,,2,,2,2,,,,,,1,3,,1,,
HFFC-008872,aAZ0o000000GpHCGA0,,,,,,,,,,,,,,,,,,,4,,,,,2
HFFC-015663,aAZ2j00000004iMGAQ,1,,,1,1,2,,,,,,,,,,,,,,,,2,,
HFFC-000222,aAZ9000000000EGGAY,1,1,1,,1,,,2,,,1,,1,1,,1,,,1,2,,,,
HFFC-015627,aAZ2j00000004fSGAQ,2,2,2,11,7,,,3,1,4,1,10,8,10,12,16,12,13,9,9,14,7,5,7
HFFC-013576,aAZ2j000000024AGAQ,10,6,19,14,11,6,14,29,18,13,23,11,8,12,14,12,18,10,15,10,13,14,12,8
HFFC-022632,aAZ2j000000KyjzGAC,,,,,,,,,,,,,,,,,,,1,1,,1,1,
HFFC-003117,aAZ0o000000btUrGAI,,,,,,,,,,,1,,,,,,,,,,,,,
HFFC-003110,aAZ0o000000btUIGAY,,1,1,,,,,,,,,,,,,,,,,,,,,
HFFC-007172,aAZ0o000000Gn4QGAS,,,1,,1,,,,,,,,,,,,,,,,,,,
HFFC-008731,aAZ0o000000Gp5pGAC,3,3,4,,,,2,2,,,,,,,,,,,,,,,,
HFFC-013539,aAZ2j000000021BGAQ,2,1,2,,,2,,,,,,,,,,,,,,,,,,
HFFC-000598,aAZ9000000000iUGAQ,8,7,7,5,2,4,2,,,,,,,,,,,,,,,,,
HFFC-028439,aAZ5i000000LBLzGAO,,,,,,,,,,,,,,,,,,,,,,,2,
HFFC-014992,aAZ2j00000003qoGAA,1,1,2,7,4,,2,1,2,3,2,,2,4,2,,4,4,2,6,6,2,1,3
HFFC-015964,aAZ2j000000056OGAQ,2,,,,,,,,,,,,,,,,,,,,,,,
HFFC-031346,aAZ5i000000LTcOGAW,,,,,,,,,,,,,,,,,,,,,,2,,
HFFC-007076,aAZ0o000000CqXkGAK,,,,,,,5,1,,,,,,2,,,4,3,,,,1,,
HFFC-001993,aAZ90000000PERSGA4,,,,,,,,,,,1,1,1,1,1,,,,,,,,,1
HFFC-002598,aAZ90000000PFEFGA4,1,4,2,4,2,,,,4,2,1,1,4,2,4,,,3,2,,2,1,2,2
HFFC-009545,aAZ0o000000Gq9OGAS,,,,,,,,1,1,,,,,,,,,,,,,,,
HFFC-020885,aAZ2j0000000BQZGA2,,,,,,,,,,,,,,,,,,2,,,,,,
HFFC-014174,aAZ2j00000002nPGAQ,,,,,1,1,5,1,,2,,,,2,,2,,,,,2,,,1
HFFC-025881,aAZ2j000000L3rtGAC,,,,,,,,,,,,,,,,,3,1,2,1,,,,
HFFC-021843,aAZ2j0000000CgJGAU,,,,,,,,,2,2,3,,3,,,,,2,,4,2,,2,
HFFC-029682,aAZ5i000000LIfMGAW,,,,,,,,,,,,,,,,,,,,,,2,,
HFFC-021624,aAZ2j0000000COeGAM,,,,,,,,2,10,,2,2,,,,2,,,4,,1,,,
HFFC-024693,aAZ2j000000L22kGAC,,,,,,,,,,,,,,,,,,,,,,,1,1
HFFC-024652,aAZ2j000000L1wcGAC,,,,,,,,,,,,,,1,,,,,,,,,1,
HFFC-020276,aAZ2j0000000AdmGAE,,,,,,,,,1,1,,,,2,,3,1,2,,1,,,3,1
